symbol,entry_date,exit_date,holding_days,direction,entry_price,exit_price,pnl,was_win,units,n_atr,hurst_252,rsi_14,vol_ratio,breakout_amplitude_n,body_ratio,close_position,atr_percentile_252,sma60_slope_20d,sma20,season,ubr_5,ubr_10,ubr_20,ubr_30,ubr_40,ubr_60,ch_pos_mean_20,ch_pos_std_20,low_touch_ratio_20,high_touch_ratio_20
513100.SH,2020-02-13T00:00:00,2020-02-21T00:00:00,6,long,0.8391,0.7435,-2562.08,False,1,0.0155,0.6835,84.2,2.02,2.6839,0.7062,0.7835,1.0,6.6651,0.7091,2020Q1,0.0,0.0,0.05,0.0333,0.025,0.0167,0.8459,0.2215,0.05,0.75
510500.SH,2020-02-18T00:00:00,2020-02-28T00:00:00,8,long,5.1311,4.955,-1549.68,False,2,0.0987,0.6744,62.82,1.43,0.3566,0.5046,0.9554,0.5627,3.0236,4.9114,2020Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.6592,0.2749,0.15,0.25
159915.SZ,2020-02-17T00:00:00,2020-02-28T00:00:00,9,long,2.071,1.995,-1352.8,False,2,0.0485,0.6573,69.79,1.45,1.0103,0.9851,1.0,1.0,5.6841,1.9033,2020Q1,0.2,0.1,0.1,0.0667,0.05,0.0833,0.8289,0.2247,0.05,0.8
518880.SH,2020-02-19T00:00:00,2020-03-02T00:00:00,8,long,3.562,3.542,-648.0,False,3,0.0309,0.7044,68.17,1.15,1.1327,0.0714,0.5,0.594,1.3497,3.4642,2020Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.5784,0.2521,0.0,0.2
159985.SZ,2020-03-02T00:00:00,2020-03-13T00:00:00,9,long,0.971,0.959,-250.8,False,1,0.0108,,58.75,3.8,0.8333,0.8966,0.9655,,,0.9478,2020Q1,0.0,0.0,0.0,0.0,0.025,,0.5531,0.275,0.15,0.2
159915.SZ,2020-05-06T00:00:00,2020-05-22T00:00:00,12,long,2.029,1.972,-501.6,False,1,0.053,0.6678,64.38,0.94,0.566,0.8448,0.9483,0.6112,1.5697,1.9291,2020Q2,0.0,0.1,0.05,0.0333,0.025,0.05,0.8267,0.1366,0.0,0.65
518880.SH,2020-05-15T00:00:00,2020-06-04T00:00:00,14,long,3.834,3.82,-232.4,False,2,0.0469,0.6786,66.8,0.72,1.1087,0.5714,0.7143,0.5368,2.6752,3.7328,2020Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.7132,0.2139,0.05,0.35
510500.SH,2020-06-01T00:00:00,2020-06-12T00:00:00,9,long,5.085,5.1102,113.4,True,1,0.0907,0.6822,62.34,1.0,0.4256,0.9817,0.9817,0.3894,-0.6268,4.9559,2020Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.6592,0.3281,0.15,0.55
513100.SH,2020-04-27T00:00:00,2020-06-12T00:00:00,31,long,0.7131,0.7445,1381.6,True,2,0.0209,0.6762,66.25,1.16,0.6124,0.8953,0.907,0.7241,-0.792,0.6482,2020Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.6259,0.2901,0.0,0.45
513520.SH,2020-04-14T00:00:00,2020-06-12T00:00:00,40,long,0.944,1.072,9728.0,True,4,0.0246,,55.57,0.44,0.5691,0.8261,0.8261,,,0.8781,2020Q2,0.0,0.0,0.0,0.0,0.0,0.0167,0.5948,0.3339,0.2,0.4
159985.SZ,2020-06-04T00:00:00,2020-06-29T00:00:00,15,long,0.985,0.974,-212.3,False,1,0.0109,,61.93,1.03,0.1835,0.6667,0.6667,,0.2345,0.9595,2020Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.599,0.2907,0.15,0.3
510500.SH,2020-06-16T00:00:00,2020-07-17T00:00:00,21,long,5.1966,5.8283,14655.44,True,4,0.0828,0.6785,69.11,0.94,0.1425,0.9574,0.9574,0.2945,-0.4534,5.024,2020Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.6269,0.318,0.15,0.45
159915.SZ,2020-06-19T00:00:00,2020-07-24T00:00:00,23,long,2.238,2.537,13156.0,True,4,0.0441,0.6559,76.16,1.03,0.907,0.6774,0.7581,0.419,1.7483,2.0934,2020Q2,0.0,0.0,0.05,0.0333,0.025,0.0333,0.7618,0.2512,0.05,0.6
159985.SZ,2020-07-23T00:00:00,2020-08-05T00:00:00,9,long,1.029,1.01,-946.2,False,2,0.0093,,71.13,0.77,0.3226,0.7778,0.7778,,0.7728,1.004,2020Q3,0.2,0.1,0.05,0.0333,0.025,0.0167,0.6583,0.2827,0.15,0.45
518880.SH,2020-07-22T00:00:00,2020-08-12T00:00:00,15,long,4.043,3.989,-3520.8,False,4,0.0331,0.6884,71.87,0.99,2.5378,0.5714,0.3714,0.2125,2.594,3.9279,2020Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.7067,0.2062,0.05,0.35
513520.SH,2020-08-25T00:00:00,2020-08-28T00:00:00,3,long,1.112,1.095,-697.0,False,1,0.014,,61.89,0.54,0.1429,0.5,0.5,,2.8976,1.0918,2020Q3,0.0,0.0,0.0,0.0,0.0,0.0167,0.7492,0.1322,0.0,0.4
513100.SH,2020-07-13T00:00:00,2020-09-09T00:00:00,42,long,0.7847,0.8961,10048.28,True,4,0.0127,0.6599,67.49,1.08,0.9134,0.3548,0.5968,0.3707,6.5826,0.7604,2020Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.6716,0.1996,0.05,0.25
159915.SZ,2020-10-12T00:00:00,2020-10-22T00:00:00,8,long,2.683,2.582,-919.1,False,1,0.0691,0.6725,64.11,1.34,0.4776,0.939,1.0,0.7762,2.0936,2.4938,2020Q4,0.2,0.1,0.05,0.0333,0.025,0.0333,0.4077,0.2915,0.25,0.15
159985.SZ,2020-09-14T00:00:00,2020-11-02T00:00:00,29,long,1.087,1.107,2096.0,True,4,0.0119,,74.4,1.82,1.3445,0.1875,0.25,,1.9166,1.0323,2020Q3,0.0,0.0,0.0,0.0,0.0,0.0167,0.7685,0.1479,0.0,0.45
510500.SH,2020-11-23T00:00:00,2020-11-27T00:00:00,4,long,5.9877,5.8971,-561.72,False,1,0.0998,0.6861,59.96,1.29,0.1934,0.3594,0.5701,0.4988,-1.4888,5.832,2020Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.5555,0.2575,0.1,0.2
159985.SZ,2020-11-11T00:00:00,2020-12-02T00:00:00,15,long,1.173,1.14,-636.9,False,1,0.0159,,68.32,1.6,0.8176,0.9231,0.9231,,3.7548,1.1348,2020Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.2867,0.15,0.35
513520.SH,2020-11-06T00:00:00,2020-12-22T00:00:00,32,long,1.141,1.222,18435.6,True,4,0.0108,,68.22,2.89,1.0185,0.75,0.75,,0.7008,1.1069,2020Q4,0.0,0.0,0.0,0.0,0.025,0.0167,0.5018,0.3034,0.25,0.2
518880.SH,2021-01-06T00:00:00,2021-01-11T00:00:00,3,long,3.931,3.777,-2294.6,False,1,0.0364,0.6983,65.4,1.29,0.0275,0.0,0.5294,0.2751,-1.6297,3.8273,2021Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.7121,0.1767,0.0,0.4
159915.SZ,2020-12-21T00:00:00,2021-01-15T00:00:00,18,long,2.778,2.99,7186.8,True,3,0.0556,0.6813,69.05,1.66,1.295,0.9579,0.9684,0.5362,0.8148,2.6196,2020Q4,0.0,0.0,0.0,0.0,0.0,0.0167,0.721,0.2773,0.1,0.6
159985.SZ,2020-12-31T00:00:00,2021-01-22T00:00:00,15,long,1.271,1.274,218.4,True,4,0.0175,0.6694,76.52,1.43,2.1714,1.0,1.0,,3.1565,1.1747,2020Q4,0.2,0.1,0.05,0.0333,0.025,0.0167,0.6138,0.3512,0.25,0.55
513520.SH,2020-12-29T00:00:00,2021-01-28T00:00:00,21,long,1.275,1.279,578.4,True,3,0.013,,70.85,3.01,1.4615,1.0,1.0,,4.1303,1.2382,2020Q4,0.2,0.2,0.1,0.1,0.075,0.05,0.5647,0.2757,0.1,0.25
513100.SH,2021-01-21T00:00:00,2021-02-01T00:00:00,7,long,0.8867,0.8617,-1205.0,False,1,0.0116,0.6935,63.0,1.9,0.8621,0.625,0.875,0.1756,-1.8569,0.8627,2021Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.5447,0.3308,0.2,0.3
159915.SZ,2021-01-20T00:00:00,2021-02-23T00:00:00,18,long,3.096,3.009,-1566.0,False,2,0.0718,0.7,66.27,1.17,0.0279,0.9369,0.982,0.8112,4.7105,2.9296,2021Q1,0.0,0.1,0.05,0.0333,0.025,0.0167,0.7954,0.1815,0.0,0.5
513520.SH,2021-02-18T00:00:00,2021-02-26T00:00:00,6,long,1.351,1.304,-1602.7,False,1,0.0186,0.6593,66.01,1.1,0.0538,0.1373,0.0588,,4.6684,1.3047,2021Q1,0.0,0.0,0.0,0.0333,0.075,0.0667,0.5227,0.2901,0.15,0.2
510500.SH,2021-02-19T00:00:00,2021-03-05T00:00:00,10,long,6.2369,5.9642,-1636.2,False,1,0.1056,0.6696,63.63,1.02,0.0473,0.6161,0.9523,0.4634,1.2241,6.0262,2021Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.5469,0.2953,0.15,0.3
513100.SH,2021-04-02T00:00:00,2021-04-21T00:00:00,12,long,0.8955,0.9167,1992.8,True,2,0.0131,0.646,60.74,0.79,0.7176,0.6154,0.2308,0.0851,0.1847,0.8645,2021Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.5772,0.2707,0.15,0.25
159985.SZ,2021-04-20T00:00:00,2021-04-30T00:00:00,8,long,1.28,1.274,-176.4,False,2,0.0213,0.7056,61.48,0.77,0.0469,0.5,0.5625,0.7143,-0.9169,1.2387,2021Q2,0.0,0.0,0.0,0.0,0.025,0.0167,0.6953,0.1874,0.0,0.3
159915.SZ,2021-04-30T00:00:00,2021-05-10T00:00:00,3,long,2.989,2.827,-1393.2,False,1,0.0723,0.6863,69.84,0.97,0.3458,0.6667,0.7917,0.5594,-2.956,2.7874,2021Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.7478,0.2604,0.05,0.55
518880.SH,2021-05-10T00:00:00,2021-06-02T00:00:00,17,long,3.73,3.793,2167.2,True,2,0.0358,0.7043,64.07,1.16,0.1676,0.3,0.5,0.1818,-1.4468,3.6474,2021Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.7215,0.2252,0.05,0.45
510500.SH,2021-05-25T00:00:00,2021-06-16T00:00:00,15,long,6.1731,6.148,-371.48,False,2,0.0834,0.6794,65.32,1.12,0.0899,0.6574,0.7994,0.1415,0.128,6.064,2021Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.7456,0.1679,0.0,0.4
159915.SZ,2021-05-31T00:00:00,2021-06-16T00:00:00,11,long,3.195,3.024,-1470.6,False,1,0.0728,0.692,72.5,0.78,0.2747,0.9286,0.9286,0.569,-0.8494,2.9854,2021Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.7252,0.2872,0.05,0.6
159915.SZ,2021-06-30T00:00:00,2021-07-06T00:00:00,4,long,3.373,3.196,-1539.9,False,1,0.0737,0.6841,69.48,0.92,0.502,0.7396,1.0,0.5862,6.5149,3.1714,2021Q2,0.2,0.1,0.05,0.0333,0.025,0.0167,0.6633,0.2635,0.05,0.4
513100.SH,2021-06-08T00:00:00,2021-07-19T00:00:00,28,long,0.9031,0.9744,18053.16,True,4,0.0099,0.6668,53.99,0.83,0.0202,0.8667,0.0667,0.0,0.5119,0.8902,2021Q2,0.0,0.0,0.05,0.0333,0.025,0.0167,0.5613,0.3003,0.15,0.25
518880.SH,2021-07-15T00:00:00,2021-07-22T00:00:00,5,long,3.721,3.667,-1139.4,False,1,0.0312,0.6854,58.55,0.88,0.6731,0.4615,0.8462,0.0469,0.5554,3.6504,2021Q3,0.0,0.1,0.05,0.0333,0.025,0.0167,0.537,0.386,0.4,0.45
510500.SH,2021-07-13T00:00:00,2021-07-26T00:00:00,9,long,6.5406,6.4693,-591.79,False,1,0.0792,0.6735,70.27,0.61,0.4874,0.7226,0.9209,0.0649,2.776,6.3286,2021Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.6459,0.2801,0.1,0.45
513100.SH,2021-07-26T00:00:00,2021-08-19T00:00:00,18,long,1.0078,0.984,-1880.2,False,1,0.0082,0.6787,75.73,2.0,2.122,0.7692,0.7949,0.0186,2.3866,0.9797,2021Q3,0.0,0.0,0.0,0.0333,0.025,0.0333,0.8071,0.266,0.05,0.8
513100.SH,2021-08-31T00:00:00,2021-09-10T00:00:00,8,long,1.0444,1.0292,-1164.32,False,1,0.0084,0.6744,71.43,1.28,1.5238,0.8056,1.0,0.0332,4.2539,1.0089,2021Q3,0.2,0.1,0.05,0.0333,0.025,0.0333,0.7479,0.2514,0.05,0.5
510500.SH,2021-08-27T00:00:00,2021-09-17T00:00:00,15,long,6.7571,6.9643,4413.36,True,3,0.0893,0.6611,64.54,0.41,0.0381,0.6985,0.8684,0.2531,2.4039,6.5932,2021Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.7265,0.2552,0.0,0.55
513520.SH,2021-09-02T00:00:00,2021-09-22T00:00:00,12,long,1.228,1.287,13121.6,True,4,0.0116,0.6653,62.61,2.24,0.3448,0.5714,0.7143,0.1364,-0.895,1.2007,2021Q3,0.4,0.2,0.1,0.0667,0.05,0.05,0.6262,0.3086,0.15,0.3
159915.SZ,2021-10-25T00:00:00,2021-10-29T00:00:00,4,long,3.236,3.249,120.9,True,1,0.0678,0.6501,60.46,0.82,0.3097,0.9818,0.9818,0.3357,-2.0936,3.1326,2021Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.6469,0.232,0.05,0.35
513100.SH,2021-11-03T00:00:00,2021-11-29T00:00:00,18,long,1.0482,1.064,3583.44,True,3,0.0084,0.6735,70.2,0.51,0.5952,0.4545,0.4545,0.0569,0.6484,1.0064,2021Q4,0.2,0.1,0.05,0.0333,0.05,0.0333,0.6809,0.3771,0.2,0.6
159915.SZ,2021-11-08T00:00:00,2021-12-06T00:00:00,20,long,3.278,3.294,316.8,True,2,0.0644,0.671,61.54,0.85,0.0311,0.717,0.8302,0.2536,-1.6812,3.1948,2021Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.7475,0.1959,0.05,0.5
510500.SH,2021-11-12T00:00:00,2021-12-20T00:00:00,26,long,6.7428,6.7931,684.08,True,2,0.0932,0.6882,55.26,0.51,0.0805,0.6163,0.7336,0.3814,0.7996,6.6529,2021Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.6003,0.2251,0.05,0.2
